2023-02-07 18:33:04 [ERROR] [FAILED]	[ID: 487017]  Title: Follow secrect bra 	Price:$	Link:https://t.me/joinchat/FVE33KPWkWBlMDIy	Aff_link:No Ali Express link detected	Saved-> 	Images files:['487017']	img count: 0
2023-02-07 18:34:09 [INFO] [SUCCESS]	[ID: 486935]  Title: NIKE            	Price:59$	Link:https://bit.ly/3i72zlR	Aff_link:https://s.click.aliexpress.com/e/_EuE8E9j	Saved-> 	Images files:['486935', '486934', '486933', '486932', '486931', '486930']	img count: 5
2023-02-07 18:34:14 [INFO] [SUCCESS]	[ID: 486929]  Title: NIKE            	Price:59$	Link:https://bit.ly/3i72zlR	Aff_link:https://s.click.aliexpress.com/e/_EvMisTB	Saved-> 	Images files:['486929', '486928', '486927', '486926', '486925', '486924', '486923', '486922', '486921', '486920']	img count: 9
2023-02-07 18:34:20 [INFO] [SUCCESS]	[ID: 486919]  Title: NIKE            	Price:69$	Link:https://bit.ly/3WS8wSr	Aff_link:https://s.click.aliexpress.com/e/_EvKFXPx	Saved-> 	Images files:['486919', '486918', '486917', '486916', '486915', '486914', '486913', '486912', '486911', '486910']	img count: 9
2023-02-07 18:34:25 [INFO] [SUCCESS]	[ID: 486909]  Title: NIKE            	Price:69$	Link:https://bit.ly/3WS8wSr	Aff_link:https://s.click.aliexpress.com/e/_EyLzZhr	Saved-> 	Images files:['486909', '486908', '486907', '486906', '486905', '486904', '486903']	img count: 6
2023-02-07 18:34:32 [INFO] [SUCCESS]	[ID: 486902]  Title: NIKE            	Price:65$	Link:https://bit.ly/3vtyxfa	Aff_link:https://s.click.aliexpress.com/e/_EjugETR	Saved-> 	Images files:['486902', '486901', '486900', '486899', '486898', '486897', '486896', '486895', '486894', '486893']	img count: 9
2023-02-07 18:34:36 [INFO] [SUCCESS]	[ID: 486892]  Title: NIKE            	Price:65$	Link:https://bit.ly/3vtyxfa	Aff_link:https://s.click.aliexpress.com/e/_EHr8W5T	Saved-> 	Images files:['486892', '486891', '486890', '486889', '486888']	img count: 4
2023-02-07 18:34:43 [INFO] [SUCCESS]	[ID: 486887]  Title: NIKE            	Price:75$	Link:https://bit.ly/3Q1O4fG	Aff_link:https://s.click.aliexpress.com/e/_Ew5dPsz	Saved-> 	Images files:['486887', '486886', '486885', '486884', '486883', '486882', '486881', '486880', '486879', '486878']	img count: 9
2023-02-07 18:34:49 [INFO] [SUCCESS]	[ID: 486877]  Title: NIKE            	Price:65$	Link:https://bit.ly/3vtyxfa	Aff_link:https://s.click.aliexpress.com/e/_Ey0L2fP	Saved-> 	Images files:['486877', '486876', '486875', '486874', '486873', '486872', '486871', '486870']	img count: 7
2023-02-07 18:34:57 [INFO] [SUCCESS]	[ID: 486869]  Title: NIKE            	Price:110$	Link:https://bit.ly/3WSw1uH	Aff_link:https://s.click.aliexpress.com/e/_EzrmSQH	Saved-> 	Images files:['486869', '486868', '486867', '486866', '486865', '486864', '486863', '486862', '486861', '486860']	img count: 9
2023-02-07 18:35:04 [INFO] [SUCCESS]	[ID: 486859]  Title: NIKE            	Price:65$	Link:https://bit.ly/3vtyxfa	Aff_link:https://s.click.aliexpress.com/e/_EHqGONb	Saved-> 	Images files:['486859', '486858', '486857', '486856', '486855', '486854', '486853', '486852', '486851', '486850']	img count: 9
2023-02-07 18:35:11 [INFO] [SUCCESS]	[ID: 486849]  Title: NIKE            	Price:65$	Link:https://bit.ly/3vtyxfa	Aff_link:https://s.click.aliexpress.com/e/_EuvFaEd	Saved-> 	Images files:['486849', '486848', '486847', '486846', '486845', '486844', '486843', '486842', '486841']	img count: 8
2023-02-07 18:35:19 [INFO] [SUCCESS]	[ID: 486840]  Title: Nike            	Price:38.30$	Link:https://shp.pub/6lqm3s	Aff_link:https://s.click.aliexpress.com/e/_ExZtLlB	Saved-> 	Images files:['486840', '486839', '486838', '486837', '486836', '486835', '486834', '486833']	img count: 7
2023-02-07 18:36:08 [INFO] [SUCCESS]	[ID: 486832]  Title: Kanken          	Price:19.99$	Link:https://shp.pub/6lqk84	Aff_link:https://s.click.aliexpress.com/e/_EuthLlB	Saved-> 	Images files:['486832', '486831', '486830', '486829', '486828', '486827', '486826', '486825', '486824', '486823']	img count: 9
2023-02-07 18:36:15 [INFO] [SUCCESS]	[ID: 486822]  Title: Carhartt        	Price:32.98$	Link:https://shp.pub/6lqk6r	Aff_link:https://s.click.aliexpress.com/e/_EJx8CA9	Saved-> 	Images files:['486822', '486821', '486820', '486819', '486818', '486817', '486816', '486815']	img count: 7
2023-02-07 18:36:22 [INFO] [SUCCESS]	[ID: 486814]  Title: TNF backpack    	Price:20.75$	Link:https://shp.pub/6lqk2a	Aff_link:https://s.click.aliexpress.com/e/_Eu07Kct	Saved-> 	Images files:['486814', '486813', '486812', '486811', '486810', '486809', '486808', '486807', '486806', '486805']	img count: 9
2023-02-07 18:36:29 [INFO] [SUCCESS]	[ID: 486804]  Title: TNF backpack    	Price:21.98$	Link:https://shp.pub/6lqjzr	Aff_link:https://s.click.aliexpress.com/e/_EIIyzev	Saved-> 	Images files:['486804', '486803', '486802', '486801', '486800', '486799', '486798', '486797', '486796']	img count: 8
2023-02-07 18:36:45 [ERROR] [FAILED]	[ID: 486795]  Title: NB 327          	Price:58.70$	Link:https://shp.pub/6lqjrl	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['486795', '486794', '486793', '486792', '486791', '486790', '486789', '486788', '486787', '486786']	img count: 9
2023-02-07 18:36:49 [INFO] [SUCCESS]	[ID: 486785]  Title: NIKE            	Price:69$	Link:https://bit.ly/3WS8wSr	Aff_link:https://s.click.aliexpress.com/e/_EQCipK1	Saved-> 	Images files:['486785', '486784', '486783', '486782', '486781', '486780', '486779']	img count: 6
2023-02-07 18:36:54 [INFO] [SUCCESS]	[ID: 486778]  Title: NIKE            	Price:65$	Link:https://bit.ly/3vtyxfa	Aff_link:https://s.click.aliexpress.com/e/_EumfdLx	Saved-> 	Images files:['486778', '486777', '486776', '486775', '486774']	img count: 4
2023-02-07 18:37:01 [INFO] [SUCCESS]	[ID: 486773]  Title: NIKE            	Price:65$	Link:https://bit.ly/3vtyxfa	Aff_link:https://s.click.aliexpress.com/e/_ExMlmhj	Saved-> 	Images files:['486773', '486772', '486771', '486770', '486769', '486768', '486767']	img count: 6
2023-02-07 18:37:17 [INFO] [SUCCESS]	[ID: 486766]  Title: NB 327          	Price:56.30$	Link:https://bit.ly/3YryxJ3	Aff_link:https://s.click.aliexpress.com/e/_Eu4YCBf	Saved-> 	Images files:['486766', '486765', '486764', '486763', '486762', '486761', '486760', '486759', '486758', '486757']	img count: 9
2023-02-07 18:37:32 [ERROR] [FAILED]	[ID: 486756]  Title: NB 327          	Price:56.30$	Link:https://shp.pub/6lqja3	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['486756', '486755', '486754', '486753', '486752', '486751', '486750', '486749', '486748', '486747']	img count: 9
2023-02-07 18:37:34 [ERROR] [FAILED]	[ID: 486746]  Title: Catalogs

1) https 	Price:$	Link:https://hypeallie.online/jackzhang/	Aff_link:No Ali Express link detected	Saved-> 	Images files:['486746']	img count: 0
2023-02-07 18:37:50 [ERROR] [FAILED]	[ID: 486745]  Title: NB 327          	Price:56.30$	Link:https://shp.pub/6lqj8q	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['486745', '486744', '486743', '486742', '486741', '486740', '486739', '486738', '486737', '486736']	img count: 9
2023-02-07 18:37:57 [INFO] [SUCCESS]	[ID: 486735]  Title: GG backpack     	Price:61.30$	Link:https://shp.pub/6lqj5m	Aff_link:https://s.click.aliexpress.com/e/_Ew6u2yp	Saved-> 	Images files:['486735', '486734', '486733', '486732', '486731', '486730']	img count: 5
2023-02-07 18:38:02 [ERROR] [FAILED]	[ID: 486729]  Title: NIKE            	Price:59$	Link:https://bit.ly/3WAhT9C	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['486729', '486728', '486727', '486726', '486725', '486724', '486723', '486722', '486721', '486720']	img count: 9
2023-02-07 18:38:08 [ERROR] [FAILED]	[ID: 486719]  Title: NIKE            	Price:59$	Link:https://bit.ly/3WAhT9C	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['486719', '486718', '486717', '486716', '486715', '486714', '486713', '486712', '486711', '486710']	img count: 9
2023-02-07 18:38:12 [ERROR] [FAILED]	[ID: 486709]  Title: no title        	Price:no title	Link:no title	Aff_link:no title	Saved-> 	Images files:['486709', '486708', '486707', '486706', '486705', '486704', '486703', '486702', '486701', '486700']	img count: 9
