2023-02-07 18:31:16 [ERROR] [FAILED]	[ID: 487017]  Title: Follow secrect bra 	Price:$	Link:https://t.me/joinchat/FVE33KPWkWBlMDIy	Aff_link:No Ali Express link detected	Saved-> 	Images files:['487017']	img count: 0
2023-02-07 18:32:17 [INFO] [SUCCESS]	[ID: 486935]  Title: NIKE            	Price:59$	Link:https://bit.ly/3i72zlR	Aff_link:https://s.click.aliexpress.com/e/_EupEGbB	Saved-> 	Images files:['486935', '486934', '486933', '486932', '486931', '486930']	img count: 5
2023-02-07 18:32:22 [INFO] [SUCCESS]	[ID: 486929]  Title: NIKE            	Price:59$	Link:https://bit.ly/3i72zlR	Aff_link:https://s.click.aliexpress.com/e/_EwKPXZf	Saved-> 	Images files:['486929', '486928', '486927', '486926', '486925', '486924', '486923', '486922', '486921', '486920']	img count: 9
2023-02-07 18:32:29 [INFO] [SUCCESS]	[ID: 486919]  Title: NIKE            	Price:69$	Link:https://bit.ly/3WS8wSr	Aff_link:https://s.click.aliexpress.com/e/_EGKJPBL	Saved-> 	Images files:['486919', '486918', '486917', '486916', '486915', '486914', '486913', '486912', '486911', '486910']	img count: 9
2023-02-07 18:32:32 [INFO] [SUCCESS]	[ID: 486909]  Title: NIKE            	Price:69$	Link:https://bit.ly/3WS8wSr	Aff_link:https://s.click.aliexpress.com/e/_EH0Tsh7	Saved-> 	Images files:['486909', '486908', '486907', '486906', '486905', '486904', '486903']	img count: 6
2023-02-07 18:32:39 [INFO] [SUCCESS]	[ID: 486902]  Title: NIKE            	Price:65$	Link:https://bit.ly/3vtyxfa	Aff_link:https://s.click.aliexpress.com/e/_Ex9n5Nn	Saved-> 	Images files:['486902', '486901', '486900', '486899', '486898', '486897', '486896', '486895', '486894', '486893']	img count: 9
2023-02-07 18:32:43 [INFO] [SUCCESS]	[ID: 486892]  Title: NIKE            	Price:65$	Link:https://bit.ly/3vtyxfa	Aff_link:https://s.click.aliexpress.com/e/_EuFn3JF	Saved-> 	Images files:['486892', '486891', '486890', '486889', '486888']	img count: 4
2023-02-07 18:32:49 [INFO] [SUCCESS]	[ID: 486887]  Title: NIKE            	Price:75$	Link:https://bit.ly/3Q1O4fG	Aff_link:https://s.click.aliexpress.com/e/_EQYDsJr	Saved-> 	Images files:['486887', '486886', '486885', '486884', '486883', '486882', '486881', '486880', '486879', '486878']	img count: 9
2023-02-07 18:32:53 [ERROR] [FAILED]	[ID: 486877]  Title: no title        	Price:no title	Link:no title	Aff_link:no title	Saved-> 	Images files:['486877', '486876', '486875', '486874', '486873', '486872', '486871', '486870']	img count: 7
2023-02-07 18:32:57 [INFO] full_file_name: /Users/user/Desktop/Backup/photo_2023-02-07_18-32-57.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 486861
2023-02-07 18:32:58 [INFO] full_file_name: /Users/user/Desktop/Backup/.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 486860
